observable,e,value,derivative,abs_sensitivity,relative_condition_number,delta_e_for_1pct_relative_noise
width_residue,0.2305,0.9730723251639622,-0.23687858963737446,0.23687858963737446,0.056111466228591644,0.041078947939262464
width_residue,0.2335625,0.9723417910353077,-0.24020617251400117,0.24020617251400117,0.057699005313826095,0.04047946732004282
width_residue,0.236625,0.9716010546386824,-0.24354131654169084,0.24354131654169084,0.059312372862860056,0.03989471143687268
width_residue,0.2396875,0.9708500926217961,-0.24688415010881865,0.24688415010881865,0.0609517835749537,0.03932411587353325
width_residue,0.24275,0.9700888812371782,-0.25023480290838396,0.25023480290838396,0.06261745658659776,0.0387671446961895
width_residue,0.2458125,0.9693173963381396,-0.25359340596653235,0.25359340596653235,0.06430961554970649,0.038223288679125354
width_residue,0.248875,0.9685356133746451,-0.25696009167164324,0.25696009167164324,0.0660284887118993,0.03769206366147664
width_residue,0.2519375,0.9677435073890963,-0.2603349938039983,0.2603349938039983,0.06777430899892785,0.03717300902381543
width_residue,0.255,0.966941053012023,-0.26371824756604817,0.26371824756604817,0.06954731409930748,0.03666568627450981
width_residue,0.2580625,0.9661282244576803,-0.26710998961329274,0.26710998961329274,0.07134774655121336,0.03616967773674014
width_residue,0.261125,0.9653049955195508,-0.27051035808579454,0.27051035808579454,0.07317585383170479,0.035684585327908094
width_residue,0.2641875,0.9644713395657488,-0.27391949264034104,0.27391949264034104,0.07503188844834185,0.03521002942394133
