dataset,e,a,pc1,pc2,isomap1
scale_overlay,0.05,1.0,-2.6977946903627625,-0.2627208857567478,nan
scale_overlay,0.05,1.5,-2.697794690362784,-0.26272088575669716,nan
scale_overlay,0.05,2.5,-2.697794690362766,-0.2627208857567478,nan
scale_overlay,0.05,4.0,-2.6977946903627625,-0.2627208857567478,nan
scale_overlay,0.075,0.75,-2.68017693671419,-0.2582749489023275,nan
scale_overlay,0.075,1.0,-2.680176936714215,-0.25827494890223335,nan
scale_overlay,0.075,1.5,-2.68017693671419,-0.2582749489023275,nan
scale_overlay,0.075,2.5,-2.68017693671419,-0.2582749489023284,nan
scale_overlay,0.075,4.0,-2.680176936714215,-0.25827494890223335,nan
scale_overlay,0.1,0.75,-2.655435855856787,-0.2520539702889266,nan
scale_overlay,0.1,1.0,-2.6554358558567444,-0.25205397028912646,nan
scale_overlay,0.1,1.5,-2.655435855856787,-0.2520539702889266,nan
scale_overlay,0.1,2.5,-2.6554358558567444,-0.25205397028912646,nan
scale_overlay,0.1,4.0,-2.6554358558567444,-0.25205397028912646,nan
scale_overlay,0.125,0.75,-2.623494201283563,-0.244061561271125,nan
scale_overlay,0.125,1.0,-2.623494201283563,-0.244061561271125,nan
scale_overlay,0.125,1.5,-2.623494201283563,-0.244061561271125,nan
scale_overlay,0.125,2.5,-2.623494201283563,-0.244061561271125,nan
scale_overlay,0.125,4.0,-2.623494201283563,-0.244061561271125,nan
scale_overlay,0.15,0.75,-2.584251207659179,-0.2343027457308553,nan
scale_overlay,0.15,1.0,-2.5842512076592286,-0.23430274573060306,nan
scale_overlay,0.15,1.5,-2.584251207659179,-0.2343027457308553,nan
scale_overlay,0.15,2.5,-2.5842512076591753,-0.23430274573085352,nan
scale_overlay,0.15,4.0,-2.5842512076592286,-0.23430274573060306,nan
scale_overlay,0.175,0.75,-2.5375814485558372,-0.2227840655065716,nan
scale_overlay,0.175,1.0,-2.5375814485558372,-0.22278406550657248,nan
scale_overlay,0.175,1.5,-2.5375814485558372,-0.2227840655065716,nan
scale_overlay,0.175,2.5,-2.5375814485558372,-0.2227840655065716,nan
scale_overlay,0.175,4.0,-2.5375814485558372,-0.22278406550657248,nan
scale_overlay,0.2,0.75,-2.4833332847640612,-0.2095144503529216,nan
scale_overlay,0.2,1.0,-2.483333284764125,-0.2095144503526294,nan
scale_overlay,0.2,1.5,-2.4833332847640612,-0.2095144503529216,nan
scale_overlay,0.2,2.5,-2.4833332847640257,-0.20951445035311878,nan
scale_overlay,0.2,4.0,-2.483333284764125,-0.2095144503526294,nan
scale_overlay,0.225,0.75,-2.421327250178358,-0.19450498770117264,nan
scale_overlay,0.225,1.0,-2.4213272501782335,-0.19450498770177216,nan
scale_overlay,0.225,1.5,-2.421327250178358,-0.19450498770117264,nan
scale_overlay,0.225,2.5,-2.4213272501782335,-0.19450498770177216,nan
scale_overlay,0.225,4.0,-2.4213272501782335,-0.19450498770177216,nan
scale_overlay,0.25,0.75,-2.351353799265013,-0.17776945851873105,nan
scale_overlay,0.25,1.0,-2.351353799265013,-0.17776945851873194,nan
scale_overlay,0.25,1.5,-2.351353799265013,-0.17776945851873105,nan
scale_overlay,0.25,2.5,-2.351353799265013,-0.17776945851873105,nan
scale_overlay,0.25,4.0,-2.351353799265013,-0.17776945851873194,nan
scale_overlay,0.275,0.75,-2.273170594437662,-0.1593255520624295,nan
scale_overlay,0.275,1.0,-2.273170594437847,-0.1593255520614809,nan
scale_overlay,0.275,1.5,-2.273170594437662,-0.1593255520624295,nan
scale_overlay,0.275,2.5,-2.273170594437655,-0.1593255520624286,nan
scale_overlay,0.275,4.0,-2.273170594437847,-0.1593255520614809,nan
scale_overlay,0.3,0.75,-2.1864990082174884,-0.1391965642831856,nan
